deal_id,market,city,title,category_l1,category_l2,price_usd,rating,num_ratings,is_bookable
D00001,GB,London,Spa & Massage Treatment,Beauty & Wellness,massage,176.17,4.2,336,True
D00002,GB,London,Relaxing Wellness Session,Beauty & Wellness,massage,65.19,4.9,54,False
D00003,GB,London,Full Body Massage Package,Beauty & Wellness,massage,24.2,4.2,367,True
D00004,GB,London,Full Body Massage Package,Beauty & Wellness,massage,57.79,3.5,552,False
D00005,GB,London,Full Body Massage Package,Beauty & Wellness,massage,120.2,5.0,569,False
D00006,GB,London,Relaxing Wellness Session,Beauty & Wellness,massage,94.08,4.4,417,False
D00007,GB,London,Spa & Massage Treatment,Beauty & Wellness,massage,57.25,4.4,108,True
D00008,GB,London,Full Body Massage Package,Beauty & Wellness,massage,37.26,3.9,390,True
D00009,GB,London,Spa & Massage Treatment,Beauty & Wellness,massage,73.0,4.0,136,True
D00010,GB,London,Full Body Massage Package,Beauty & Wellness,massage,113.91,4.9,202,True
D00011,GB,London,Full Body Massage Package,Beauty & Wellness,massage,158.29,4.6,81,True
D00012,GB,London,Spa & Massage Treatment,Beauty & Wellness,massage,155.77,3.2,130,True
D00013,GB,London,Dinner & Wine Experience,Food & Drink,dining,58.49,4.6,467,True
D00014,GB,London,Three-Course Meal for Two,Food & Drink,dining,101.75,3.7,211,True
D00015,GB,London,Tasting Menu for Two,Food & Drink,dining,91.84,3.9,102,True
D00016,GB,London,Tasting Menu for Two,Food & Drink,dining,143.77,4.4,451,False
D00017,GB,London,Tasting Menu for Two,Food & Drink,dining,63.91,3.4,169,False
D00018,GB,London,Three-Course Meal for Two,Food & Drink,dining,68.39,3.6,492,False
D00019,GB,London,Tasting Menu for Two,Food & Drink,dining,157.77,3.9,354,True
D00020,GB,London,Three-Course Meal for Two,Food & Drink,dining,19.39,4.4,87,True
D00021,GB,London,Tasting Menu for Two,Food & Drink,dining,164.79,4.7,148,True
D00022,GB,London,Tasting Menu for Two,Food & Drink,dining,131.31,3.9,279,True
D00023,GB,London,Tasting Menu for Two,Food & Drink,dining,163.03,4.6,170,True
D00024,GB,London,Three-Course Meal for Two,Food & Drink,dining,94.42,4.1,105,False
D00025,GB,London,Three-Course Meal for Two,Food & Drink,dining,17.02,4.4,271,True
D00026,GB,London,Guided City Tour,Things To Do,activities,154.83,4.0,243,True
D00027,GB,London,Go-Karting Session,Things To Do,activities,59.72,4.0,71,True
D00028,GB,London,Go-Karting Session,Things To Do,activities,133.73,4.0,218,True
D00029,GB,London,Guided City Tour,Things To Do,activities,17.29,4.4,39,True
D00030,GB,London,Guided City Tour,Things To Do,activities,173.62,4.4,228,False
D00031,GB,London,Go-Karting Session,Things To Do,activities,148.97,4.1,76,False
D00032,GB,London,Guided City Tour,Things To Do,activities,34.58,4.2,326,True
D00033,GB,London,Escape Room Experience,Things To Do,activities,67.55,3.8,180,True
D00034,GB,London,Escape Room Experience,Things To Do,activities,18.77,3.9,78,True
D00035,GB,London,Guided City Tour,Things To Do,activities,22.42,4.7,435,True
D00036,GB,London,Escape Room Experience,Things To Do,activities,43.55,4.4,130,True
D00037,GB,London,Guided City Tour,Things To Do,activities,169.34,4.3,307,False
D00038,GB,London,Escape Room Experience,Things To Do,activities,52.16,4.4,166,False
D00039,GB,London,Gym Membership Pass,Health & Fitness,fitness,157.19,4.3,276,True
D00040,GB,London,Personal Training Package,Health & Fitness,fitness,33.22,4.4,241,True
D00041,GB,London,Personal Training Package,Health & Fitness,fitness,57.22,4.7,151,True
D00042,GB,London,Gym Membership Pass,Health & Fitness,fitness,94.95,4.4,726,True
D00043,GB,London,Unlimited Fitness Classes,Health & Fitness,fitness,82.54,3.6,107,True
D00044,GB,London,Unlimited Fitness Classes,Health & Fitness,fitness,41.36,4.0,59,True
D00045,GB,London,Unlimited Fitness Classes,Health & Fitness,fitness,69.98,4.2,180,True
D00046,GB,London,Unlimited Fitness Classes,Health & Fitness,fitness,43.95,4.3,47,False
D00047,GB,London,Gym Membership Pass,Health & Fitness,fitness,162.3,4.3,96,True
D00048,GB,London,Unlimited Fitness Classes,Health & Fitness,fitness,166.27,3.5,63,True
D00049,GB,London,Unlimited Fitness Classes,Health & Fitness,fitness,36.28,4.5,38,True
D00050,GB,London,Personal Training Package,Health & Fitness,fitness,136.76,4.4,286,True
D00051,GB,London,Personal Training Package,Health & Fitness,fitness,62.49,4.2,336,True
D00052,GB,London,Personal Training Package,Health & Fitness,fitness,28.7,4.3,349,False
D00053,GB,London,Gym Membership Pass,Health & Fitness,fitness,40.89,3.7,520,True
D00054,GB,London,Unlimited Fitness Classes,Health & Fitness,fitness,43.15,5.0,190,True
D00055,GB,London,Unlimited Fitness Classes,Health & Fitness,fitness,125.86,3.9,60,True
D00056,GB,London,Hair Styling & Cut,Beauty & Wellness,beauty,162.51,4.4,334,True
D00057,GB,London,Hair Styling & Cut,Beauty & Wellness,beauty,58.88,4.1,186,True
D00058,GB,London,Facial Treatment,Beauty & Wellness,beauty,94.87,3.8,77,False
D00059,GB,London,Manicure & Pedicure Package,Beauty & Wellness,beauty,89.58,4.4,288,True
D00060,GB,London,Hair Styling & Cut,Beauty & Wellness,beauty,31.17,3.9,133,True
D00061,GB,London,Facial Treatment,Beauty & Wellness,beauty,121.66,4.7,247,True
D00062,GB,London,Manicure & Pedicure Package,Beauty & Wellness,beauty,109.34,4.0,146,True
D00063,GB,London,Hair Styling & Cut,Beauty & Wellness,beauty,170.78,4.1,41,True
D00064,GB,London,Facial Treatment,Beauty & Wellness,beauty,164.02,4.3,301,True
D00065,GB,London,Manicure & Pedicure Package,Beauty & Wellness,beauty,117.27,4.2,703,True
D00066,GB,London,Manicure & Pedicure Package,Beauty & Wellness,beauty,136.64,4.0,111,True
D00067,GB,London,Manicure & Pedicure Package,Beauty & Wellness,beauty,24.62,3.7,219,True
D00068,GB,London,Facial Treatment,Beauty & Wellness,beauty,50.94,3.8,157,False
D00069,GB,London,Facial Treatment,Beauty & Wellness,beauty,131.9,5.0,333,False
D00070,GB,Manchester,Full Body Massage Package,Beauty & Wellness,massage,127.42,4.3,216,True
D00071,GB,Manchester,Full Body Massage Package,Beauty & Wellness,massage,70.91,4.4,146,True
D00072,GB,Manchester,Full Body Massage Package,Beauty & Wellness,massage,16.29,4.3,239,False
D00073,GB,Manchester,Full Body Massage Package,Beauty & Wellness,massage,29.85,4.4,100,True
D00074,GB,Manchester,Relaxing Wellness Session,Beauty & Wellness,massage,130.64,4.2,178,True
D00075,GB,Manchester,Three-Course Meal for Two,Food & Drink,dining,139.26,4.7,22,True
